row_type,objective_slot,objective_name,objective_display_name,objective_numerical_aperture,objective_um_per_pixel,objective_backlash_x,objective_backlash_y,objective_backlash_z,objective_dof_steps,objective_focus_stack_step,objective_autofocus_range_steps,stage_um_per_step_x,stage_um_per_step_y,quantity,rep,valid,reason,value,phase_response,template_score
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,0,True,,2.18379,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,1,True,,2.12677,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,2,True,,2.29834,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,3,True,,2.29945,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,4,True,,2.32028,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,5,True,,2.13478,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,6,True,,2.14105,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,7,True,,2.26987,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,8,True,,2.27267,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,9,True,,2.26645,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,10,True,,2.20686,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,11,True,,2.26282,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,0,True,,0.01204,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,1,True,,2.24438,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,2,True,,2.22338,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,3,True,,2.44222,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,4,True,,2.12604,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,5,True,,2.13004,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,6,True,,2.293,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,7,True,,2.32314,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,8,True,,2.32314,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,9,True,,2.23234,,
trial,10x,10x,20x,0.25,0.7345409375931375,100,130,20,128,64,1280,2.2647613696231015,3.2719607095945618,stage_scale_X_um_per_step,10,True,,2.14534,,
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,stage_scale_Y_um_per_step,0,True,,3.38931,,
