row_type,objective_slot,objective_name,objective_display_name,objective_numerical_aperture,objective_um_per_pixel,objective_backlash_x,objective_backlash_y,objective_backlash_z,objective_dof_steps,objective_focus_stack_step,objective_autofocus_range_steps,stage_um_per_step_x,stage_um_per_step_y,axis,mode,commanded_steps,rep,valid,reason,fwd_px,dx_px,dy_px,cross_axis_px,phase_response,template_score,measured_um,commanded_um,error_um,residual_px,residual_um,residual_phase_response
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,100,0,True,,62.787,-62.787,-1.533,1.533,0.8549,0.7074,230.5984,226.4761,4.1222,54.728,200.9983,0.8706
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,100,1,True,,6.864,-6.864,-0.652,0.652,0.9703,0.9399,25.2095,226.4761,-201.2666,0.999,3.6707,0.9718
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,100,2,True,,9.65,-9.65,-0.383,0.383,0.9356,0.7597,35.4406,226.4761,-191.0355,0.685,2.5162,0.9694
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,100,3,True,,6.346,-6.346,-0.601,0.601,0.9615,0.9111,23.3064,226.4761,-203.1698,0.458,1.6821,0.9828
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,100,4,True,,34.513,-34.513,-0.105,0.105,0.8265,0.7646,126.7567,226.4761,-99.7194,0.411,1.5095,0.8007
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,100,5,True,,6.751,-6.751,-0.566,0.566,0.9634,0.9204,24.7948,226.4761,-201.6814,0.432,1.5881,0.9807
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,100,6,True,,5.79,-5.79,-1.297,1.297,0.9787,0.7269,21.265,226.4761,-205.2111,48.167,176.905,0.794
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,100,7,True,,6.692,-6.692,-0.395,0.395,0.9782,0.9182,24.5778,226.4761,-201.8984,0.288,1.0594,0.9943
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,100,8,True,,20.993,-20.993,-1.562,1.562,0.996,0.7546,77.0998,226.4761,-149.3763,0.411,1.5095,0.9468
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,100,9,True,,5.79,-5.79,-0.086,0.086,0.8765,0.7057,21.265,226.4761,-205.2111,2.403,8.8241,1.0
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,200,0,True,,65.949,-65.949,-1.752,1.752,0.8549,0.4936,242.2128,452.9523,-210.7394,0.734,2.6974,0.9708
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,200,1,True,,71.132,-71.132,-1.931,1.931,0.9131,0.5265,261.2461,452.9523,-191.7061,0.236,0.8654,0.9781
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,200,2,True,,64.379,-64.379,-1.255,1.255,0.8923,0.8307,236.4467,452.9523,-216.5055,0.306,1.1229,0.9766
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,200,3,True,,65.088,-65.088,-1.709,1.709,0.8656,0.7432,239.0492,452.9523,-213.9031,0.124,0.4563,0.9797
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,200,4,True,,71.079,-71.079,-1.904,1.904,0.9053,0.4801,261.0538,452.9523,-191.8985,0.266,0.9767,0.9693
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,200,5,True,,64.08,-64.08,-1.281,1.281,0.8992,0.8095,235.3474,452.9523,-217.6049,0.127,0.4667,0.9907
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,200,6,True,,70.816,-70.816,-1.86,1.86,0.8956,0.5118,260.0845,452.9523,-192.8678,0.174,0.6388,0.9887
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,200,7,True,,70.818,-70.818,-1.831,1.831,0.8978,0.5761,260.0949,452.9523,-192.8574,0.163,0.5979,0.9937
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,200,8,True,,66.751,-66.751,-1.345,1.345,0.8843,0.3615,245.1563,452.9523,-207.7959,0.1,0.3676,0.9877
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,none,200,9,True,,66.806,-66.806,-1.348,1.348,0.8843,0.3527,245.3592,452.9523,-207.5931,0.128,0.4716,0.9858
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,100,0,True,,8.162,-8.162,-0.299,0.299,0.9407,0.8829,29.9749,226.4761,-196.5012,63.695,233.9325,0.8621
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,100,1,True,,6.119,-6.119,-0.241,0.241,0.9698,0.9697,22.4735,226.4761,-204.0026,57.247,210.2531,0.9246
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,100,2,True,,63.222,-63.222,-1.474,1.474,0.8632,0.7078,232.1965,226.4761,5.7204,8.185,30.0608,0.9501
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,100,3,True,,56.829,-56.829,-1.322,1.322,0.9177,0.8875,208.7148,226.4761,-17.7613,6.757,24.8159,0.9646
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,100,4,True,,46.181,-46.181,-0.802,0.802,0.8817,0.7479,169.6095,226.4761,-56.8666,4.911,18.0367,0.8874
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,100,5,True,,56.696,-56.696,-1.334,1.334,0.911,0.9105,208.2265,226.4761,-18.2496,6.666,24.4835,0.9639
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,100,6,True,,15.267,-15.267,-0.677,0.677,0.7975,0.6852,56.0727,226.4761,-170.4034,55.629,204.3107,0.8327
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,100,7,True,,56.388,-56.388,-1.339,1.339,0.9153,0.9296,207.096,226.4761,-19.3802,6.358,23.3501,0.9625
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,100,8,True,,94.833,-94.833,-0.996,0.996,0.8965,0.6476,348.2936,226.4761,121.8175,32.22,118.3343,0.9993
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,100,9,True,,44.931,-44.931,-1.144,1.144,0.9951,0.6653,165.0181,226.4761,-61.458,82.77,303.9913,0.8885
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,200,0,True,,119.317,-119.317,-2.855,2.855,0.7328,0.2041,438.2152,452.9523,-14.7371,8.163,29.9798,0.9476
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,200,1,True,,121.059,-121.059,-2.904,2.904,0.8184,0.4484,444.6143,452.9523,-8.338,6.836,25.1064,0.9674
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,200,2,True,,119.296,-119.296,-2.86,2.86,0.7358,0.1891,438.1377,452.9523,-14.8146,8.028,29.4854,0.9509
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,200,3,True,,120.963,-120.963,-2.891,2.891,0.8192,0.3718,444.2614,452.9523,-8.6909,6.29,23.103,0.9672
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,200,4,True,,119.436,-119.436,-2.848,2.848,0.7323,0.2128,438.6536,452.9523,-14.2987,8.158,29.9619,0.9491
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,200,5,True,,69.796,-69.796,-1.659,1.659,0.8922,0.4707,256.3408,452.9523,-196.6114,55.072,202.2635,0.9201
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,200,6,True,,121.022,-121.022,-2.836,2.836,0.7284,0.2037,444.4796,452.9523,-8.4727,8.181,30.0459,0.9485
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,200,7,True,,119.505,-119.505,-2.788,2.788,0.8066,0.1828,438.9063,452.9523,-14.0459,4.986,18.3137,0.9783
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,200,8,True,,121.1,-121.1,-2.863,2.863,0.7313,0.2024,444.7647,452.9523,-8.1876,8.135,29.8781,0.9425
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,sign,200,9,True,,119.053,-119.053,-2.908,2.908,0.7473,0.2038,437.2454,452.9523,-15.7069,8.007,29.4086,0.9487
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,100,0,True,,92.062,-92.062,-2.158,2.158,0.7913,0.1659,338.1183,226.4761,111.6421,23.72,87.1167,0.9152
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,100,1,True,,89.112,-89.112,-2.059,2.059,0.863,0.279,327.2812,226.4761,100.8051,25.757,94.5965,0.9426
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,100,2,True,,68.318,-68.318,-1.62,1.62,0.8411,0.2255,250.9106,226.4761,24.4345,0.758,2.7829,0.9693
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,100,3,True,,63.385,-63.385,-1.572,1.572,0.9125,0.8907,232.7928,226.4761,6.3167,0.043,0.1581,0.9915
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,100,4,True,,108.573,-108.573,-2.189,2.189,0.834,0.2191,398.7571,226.4761,172.281,28.762,105.6354,1.0
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,100,5,True,,63.317,-63.317,-1.567,1.567,0.9079,0.8966,232.5449,226.4761,6.0687,0.229,0.8401,0.9776
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,100,6,True,,72.367,-72.367,-1.888,1.888,0.807,0.2009,265.7831,226.4761,39.307,21.989,80.7593,0.9482
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,100,7,True,,63.828,-63.828,-1.557,1.557,0.8994,0.8717,234.4232,226.4761,7.9471,0.123,0.4524,0.9815
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,100,8,True,,80.741,-80.741,-1.889,1.889,0.8077,0.2073,296.538,226.4761,70.0619,2.084,7.6545,0.9274
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,100,9,True,,87.032,-87.032,-2.557,2.557,0.765,0.1314,319.6429,226.4761,93.1668,9.454,34.7204,1.0
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,200,0,True,,126.135,-126.135,-2.967,2.967,0.733,0.2965,463.2583,452.9523,10.306,0.066,0.2438,0.9793
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,200,1,True,,127.378,-127.378,-2.992,2.992,0.7992,0.2725,467.8204,452.9523,14.8681,0.03,0.1111,0.9902
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,200,2,True,,125.988,-125.988,-2.963,2.963,0.7367,0.2382,462.7158,452.9523,9.7635,0.014,0.0513,0.981
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,200,3,True,,127.357,-127.357,-2.977,2.977,0.7979,0.2087,467.7445,452.9523,14.7923,0.077,0.2835,0.9882
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,200,4,True,,126.18,-126.18,-2.842,2.842,0.7795,0.3507,463.421,452.9523,10.4687,0.116,0.4246,0.9874
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,200,5,True,,127.243,-127.243,-2.978,2.978,0.8062,0.2948,467.3275,452.9523,14.3753,0.022,0.0799,0.9926
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,200,6,True,,125.905,-125.905,-2.814,2.814,0.78,0.3737,462.4102,452.9523,9.4579,0.16,0.5867,0.9852
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,200,7,True,,127.249,-127.249,-2.98,2.98,0.8062,0.329,467.347,452.9523,14.3947,0.003,0.01,0.992
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,200,8,True,,125.501,-125.501,-2.84,2.84,0.7752,0.2929,460.9291,452.9523,7.9769,0.12,0.4398,0.9847
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,X,hysteresis,200,9,True,,125.452,-125.452,-2.836,2.836,0.774,0.2996,460.7469,452.9523,7.7946,0.118,0.4324,0.9856
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,Y,none,100,0,True,,6.556,0.158,-6.556,0.158,0.9454,0.8334,24.0791,327.1961,-303.117,0.38,1.3948,0.9817
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,Y,none,100,1,True,,19.292,0.733,-19.292,0.733,0.9065,0.9075,70.8551,327.1961,-256.3409,0.017,0.0609,0.9877
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,Y,none,100,2,True,,32.937,1.232,-32.937,1.232,0.5663,0.7324,120.9661,327.1961,-206.23,0.228,0.8374,0.559
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,Y,none,100,3,True,,19.315,0.728,-19.315,0.728,0.9028,0.8807,70.9373,327.1961,-256.2588,0.124,0.4541,0.9841
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,Y,none,100,4,True,,3.934,3.095,-3.934,3.095,0.877,1.0,14.447,327.1961,-312.7491,90.497,332.3703,0.6205
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.264761369623101,3.2719607095945618,Y,none,100,5,True,,19.095,0.734,-19.095,0.734,0.9059,0.9254,70.1294,327.1961,-257.0667,0.157,0.5762,0.9848
