row_type,objective_slot,objective_name,objective_display_name,objective_numerical_aperture,objective_um_per_pixel,objective_backlash_x,objective_backlash_y,objective_backlash_z,objective_dof_steps,objective_focus_stack_step,objective_autofocus_range_steps,stage_um_per_step_x,stage_um_per_step_y,axis,commanded_steps,rep,valid,reason,um_per_step,measured_px,dx_px,dy_px,cross_axis_px,phase_response,template_score
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,100,0,True,,2.1264,57.898,-57.898,-1.282,1.282,0.9257,0.9221
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,100,1,True,,2.31886,63.138,-63.138,-1.584,1.584,0.9162,0.9481
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,100,2,True,,2.27696,61.997,-61.997,-1.373,1.373,0.8994,0.9345
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,100,3,True,,2.02537,55.146,-55.146,-1.319,1.319,0.8867,0.8784
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,100,4,True,,2.22353,60.542,-60.542,-1.406,1.406,0.8315,0.8548
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,100,5,True,,2.07429,56.478,-56.478,-1.316,1.316,0.9056,0.8996
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,100,6,True,,2.12320,57.810,-57.810,-1.347,1.347,0.9245,0.9207
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,100,7,True,,2.17211,59.142,-59.142,-1.378,1.378,0.8814,0.8904
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,100,8,True,,2.22103,60.474,-60.474,-1.409,1.409,0.8339,0.8565
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,100,9,True,,2.26994,61.806,-61.806,-1.440,1.440,0.8905,0.9240
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,100,0,True,,3.63511,98.976,3.218,-98.976,3.218,0.4163,0.2866
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,100,1,True,,3.21027,87.409,2.893,-87.409,2.893,0.6821,0.3138
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,100,2,True,,3.03939,82.756,2.744,-82.756,2.744,0.7141,0.3496
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,100,3,True,,3.77312,102.734,3.206,-102.734,3.206,0.4661,0.1725
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,100,4,True,,3.40999,92.847,3.132,-92.847,3.132,0.6493,0.1177
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,100,5,True,,3.16168,86.086,2.819,-86.086,2.819,0.6912,0.3240
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,100,6,True,,3.28397,89.415,2.928,-89.415,2.928,0.6700,0.2414
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,100,7,True,,3.40625,92.745,3.037,-92.745,3.037,0.6499,0.1214
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,100,8,True,,3.52854,96.075,3.146,-96.075,3.146,0.5266,0.2066
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,100,9,True,,3.65083,99.404,3.255,-99.404,3.255,0.4220,0.2736
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,200,0,True,,2.29605,125.033,-125.033,-3.064,3.064,0.7851,0.3078
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,200,1,True,,2.12486,115.711,-115.711,-2.844,2.844,0.6733,0.1599
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,200,2,True,,2.28444,124.401,-124.401,-2.998,2.998,0.5962,0.2307
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,200,3,True,,2.2054,120.097,-120.097,-2.876,2.876,0.7486,0.2935
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,200,4,True,,2.26564,123.377,-123.377,-2.873,2.873,0.6535,0.5167
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,200,5,True,,2.15339,117.265,-117.265,-2.824,2.824,0.7012,0.2072
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,200,6,True,,2.18192,118.818,-118.818,-2.862,2.862,0.7267,0.2546
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,200,7,True,,2.21046,120.372,-120.372,-2.899,2.899,0.7406,0.3122
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,200,8,True,,2.23899,121.926,-121.926,-2.936,2.936,0.6956,0.4179
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,200,9,True,,2.26752,123.479,-123.479,-2.974,2.974,0.6478,0.4881
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,200,0,True,,3.12778,170.326,5.561,-170.326,5.561,0.4224,0.2357
